Initialize dataset with 1148437 characters, 86 unique.
[2019-11-27 00:27] Train Step 0000/1000000, Batch Size = 64, Examples/Sec = 1767.84, Accuracy = 0.00, Loss = 4.465
[2019-11-27 00:27] Train Step 0100/1000000, Batch Size = 64, Examples/Sec = 6264.98, Accuracy = 0.30, Loss = 2.515
[2019-11-27 00:27] Train Step 0200/1000000, Batch Size = 64, Examples/Sec = 6403.36, Accuracy = 0.37, Loss = 2.190
[2019-11-27 00:27] Train Step 0300/1000000, Batch Size = 64, Examples/Sec = 7199.56, Accuracy = 0.42, Loss = 2.028
[2019-11-27 00:27] Train Step 0400/1000000, Batch Size = 64, Examples/Sec = 5923.37, Accuracy = 0.46, Loss = 1.886
[2019-11-27 00:27] Train Step 0500/1000000, Batch Size = 64, Examples/Sec = 7076.75, Accuracy = 0.46, Loss = 1.837
[2019-11-27 00:27] Train Step 0600/1000000, Batch Size = 64, Examples/Sec = 7111.81, Accuracy = 0.52, Loss = 1.724
[2019-11-27 00:27] Train Step 0700/1000000, Batch Size = 64, Examples/Sec = 7034.10, Accuracy = 0.50, Loss = 1.744
[2019-11-27 00:27] Train Step 0800/1000000, Batch Size = 64, Examples/Sec = 6137.49, Accuracy = 0.50, Loss = 1.748
[2019-11-27 00:27] Train Step 0900/1000000, Batch Size = 64, Examples/Sec = 6873.80, Accuracy = 0.52, Loss = 1.618
[2019-11-27 00:27] Train Step 1000/1000000, Batch Size = 64, Examples/Sec = 7184.91, Accuracy = 0.53, Loss = 1.637
[2019-11-27 00:27] Train Step 1100/1000000, Batch Size = 64, Examples/Sec = 7088.34, Accuracy = 0.54, Loss = 1.569
[2019-11-27 00:27] Train Step 1200/1000000, Batch Size = 64, Examples/Sec = 7167.26, Accuracy = 0.54, Loss = 1.533
[2019-11-27 00:27] Train Step 1300/1000000, Batch Size = 64, Examples/Sec = 5480.40, Accuracy = 0.54, Loss = 1.557
[2019-11-27 00:27] Train Step 1400/1000000, Batch Size = 64, Examples/Sec = 7046.10, Accuracy = 0.54, Loss = 1.597
[2019-11-27 00:27] Train Step 1500/1000000, Batch Size = 64, Examples/Sec = 7233.12, Accuracy = 0.54, Loss = 1.510
[2019-11-27 00:27] Train Step 1600/1000000, Batch Size = 64, Examples/Sec = 7192.61, Accuracy = 0.56, Loss = 1.477
[2019-11-27 00:27] Train Step 1700/1000000, Batch Size = 64, Examples/Sec = 5004.11, Accuracy = 0.57, Loss = 1.481
[2019-11-27 00:28] Train Step 1800/1000000, Batch Size = 64, Examples/Sec = 5171.47, Accuracy = 0.53, Loss = 1.575
[2019-11-27 00:28] Train Step 1900/1000000, Batch Size = 64, Examples/Sec = 5134.67, Accuracy = 0.57, Loss = 1.435
[2019-11-27 00:28] Train Step 2000/1000000, Batch Size = 64, Examples/Sec = 4827.45, Accuracy = 0.55, Loss = 1.486
[2019-11-27 00:28] Train Step 2100/1000000, Batch Size = 64, Examples/Sec = 6525.24, Accuracy = 0.53, Loss = 1.561
[2019-11-27 00:28] Train Step 2200/1000000, Batch Size = 64, Examples/Sec = 5168.08, Accuracy = 0.58, Loss = 1.398
[2019-11-27 00:28] Train Step 2300/1000000, Batch Size = 64, Examples/Sec = 5214.57, Accuracy = 0.57, Loss = 1.416
[2019-11-27 00:28] Train Step 2400/1000000, Batch Size = 64, Examples/Sec = 5216.39, Accuracy = 0.57, Loss = 1.430
[2019-11-27 00:28] Train Step 2500/1000000, Batch Size = 64, Examples/Sec = 4559.65, Accuracy = 0.58, Loss = 1.398
[2019-11-27 00:28] Train Step 2600/1000000, Batch Size = 64, Examples/Sec = 4981.54, Accuracy = 0.58, Loss = 1.430
[2019-11-27 00:28] Train Step 2700/1000000, Batch Size = 64, Examples/Sec = 5257.56, Accuracy = 0.59, Loss = 1.399
[2019-11-27 00:28] Train Step 2800/1000000, Batch Size = 64, Examples/Sec = 5105.37, Accuracy = 0.58, Loss = 1.440
[2019-11-27 00:28] Train Step 2900/1000000, Batch Size = 64, Examples/Sec = 5070.08, Accuracy = 0.59, Loss = 1.341
[2019-11-27 00:28] Train Step 3000/1000000, Batch Size = 64, Examples/Sec = 4833.19, Accuracy = 0.58, Loss = 1.389
[2019-11-27 00:28] Train Step 3100/1000000, Batch Size = 64, Examples/Sec = 4913.16, Accuracy = 0.59, Loss = 1.391
[2019-11-27 00:28] Train Step 3200/1000000, Batch Size = 64, Examples/Sec = 4704.94, Accuracy = 0.61, Loss = 1.308
[2019-11-27 00:28] Train Step 3300/1000000, Batch Size = 64, Examples/Sec = 5919.19, Accuracy = 0.60, Loss = 1.355
[2019-11-27 00:28] Train Step 3400/1000000, Batch Size = 64, Examples/Sec = 5659.73, Accuracy = 0.59, Loss = 1.367
[2019-11-27 00:28] Train Step 3500/1000000, Batch Size = 64, Examples/Sec = 4724.15, Accuracy = 0.58, Loss = 1.391
[2019-11-27 00:28] Train Step 3600/1000000, Batch Size = 64, Examples/Sec = 5179.35, Accuracy = 0.59, Loss = 1.304
[2019-11-27 00:28] Train Step 3700/1000000, Batch Size = 64, Examples/Sec = 5975.46, Accuracy = 0.60, Loss = 1.297
[2019-11-27 00:28] Train Step 3800/1000000, Batch Size = 64, Examples/Sec = 7460.48, Accuracy = 0.59, Loss = 1.334
[2019-11-27 00:28] Train Step 3900/1000000, Batch Size = 64, Examples/Sec = 5649.61, Accuracy = 0.59, Loss = 1.381
[2019-11-27 00:28] Train Step 4000/1000000, Batch Size = 64, Examples/Sec = 4697.44, Accuracy = 0.61, Loss = 1.312
[2019-11-27 00:28] Train Step 4100/1000000, Batch Size = 64, Examples/Sec = 5825.17, Accuracy = 0.59, Loss = 1.346
[2019-11-27 00:28] Train Step 4200/1000000, Batch Size = 64, Examples/Sec = 4917.48, Accuracy = 0.58, Loss = 1.394
[2019-11-27 00:28] Train Step 4300/1000000, Batch Size = 64, Examples/Sec = 5358.10, Accuracy = 0.60, Loss = 1.307
[2019-11-27 00:28] Train Step 4400/1000000, Batch Size = 64, Examples/Sec = 5494.65, Accuracy = 0.60, Loss = 1.318
[2019-11-27 00:28] Train Step 4500/1000000, Batch Size = 64, Examples/Sec = 6095.40, Accuracy = 0.61, Loss = 1.262
[2019-11-27 00:28] Train Step 4600/1000000, Batch Size = 64, Examples/Sec = 5736.54, Accuracy = 0.60, Loss = 1.304
[2019-11-27 00:28] Train Step 4700/1000000, Batch Size = 64, Examples/Sec = 5075.07, Accuracy = 0.63, Loss = 1.305
[2019-11-27 00:28] Train Step 4800/1000000, Batch Size = 64, Examples/Sec = 7106.36, Accuracy = 0.60, Loss = 1.328
[2019-11-27 00:28] Train Step 4900/1000000, Batch Size = 64, Examples/Sec = 7430.53, Accuracy = 0.62, Loss = 1.249
[2019-11-27 00:29] Train Step 5000/1000000, Batch Size = 64, Examples/Sec = 4428.46, Accuracy = 0.61, Loss = 1.281
[2019-11-27 00:29] Train Step 5100/1000000, Batch Size = 64, Examples/Sec = 5845.08, Accuracy = 0.62, Loss = 1.211
[2019-11-27 00:29] Train Step 5200/1000000, Batch Size = 64, Examples/Sec = 7507.42, Accuracy = 0.59, Loss = 1.346
[2019-11-27 00:29] Train Step 5300/1000000, Batch Size = 64, Examples/Sec = 4485.36, Accuracy = 0.59, Loss = 1.330
[2019-11-27 00:29] Train Step 5400/1000000, Batch Size = 64, Examples/Sec = 5575.91, Accuracy = 0.60, Loss = 1.343
[2019-11-27 00:29] Train Step 5500/1000000, Batch Size = 64, Examples/Sec = 7397.97, Accuracy = 0.60, Loss = 1.302
[2019-11-27 00:29] Train Step 5600/1000000, Batch Size = 64, Examples/Sec = 4471.91, Accuracy = 0.60, Loss = 1.256
[2019-11-27 00:29] Train Step 5700/1000000, Batch Size = 64, Examples/Sec = 5149.54, Accuracy = 0.61, Loss = 1.316
[2019-11-27 00:29] Train Step 5800/1000000, Batch Size = 64, Examples/Sec = 4853.73, Accuracy = 0.61, Loss = 1.345
[2019-11-27 00:29] Train Step 5900/1000000, Batch Size = 64, Examples/Sec = 4335.13, Accuracy = 0.61, Loss = 1.290
